CustomerID,MaritalStatus ,EducationLevel ,Occupation 
1,Separated,High School Diploma,teacher
2,Divorced,Master's Degree,engineer
3,Married,Associate's Degree,artist
4,Single,High School Diploma,engineer
5,Divorced,Associate's Degree,pilot
6,Single,Doctorate,engineer
7,Divorced,Bachelor's Degree,engineer
8,Married,Bachelor's Degree,chef
9,Single,Associate's Degree,doctor
10,Divorced,Associate's Degree,doctor
11,Widowed,Master's Degree,teacher
12,Single,Associate's Degree,teacher
13,Divorced,Associate's Degree,chef
14,Widowed,Bachelor's Degree,pilot
15,Single,High School Diploma,chef
16,Single,Bachelor's Degree,doctor
17,Married,Doctorate,artist
18,Married,Associate's Degree,pilot
19,Divorced,Associate's Degree,engineer
20,Divorced,High School Diploma,engineer
21,Widowed,High School Diploma,pilot
22,Separated,Associate's Degree,engineer
23,Divorced,Associate's Degree,chef
24,Married,Doctorate,engineer
25,Single,Bachelor's Degree,pilot
26,Separated,Master's Degree,chef
27,Divorced,Bachelor's Degree,pilot
28,Separated,Master's Degree,chef
29,Separated,High School Diploma,engineer
30,Separated,Bachelor's Degree,engineer
31,Single,Bachelor's Degree,doctor
32,Widowed,High School Diploma,engineer
33,Divorced,Bachelor's Degree,doctor
34,Divorced,High School Diploma,pilot
35,Divorced,Doctorate,doctor
36,Widowed,Associate's Degree,doctor
37,Widowed,High School Diploma,pilot
38,Divorced,Associate's Degree,engineer
39,Married,Associate's Degree,pilot
40,Separated,Associate's Degree,chef
41,Single,Master's Degree,engineer
42,Widowed,Bachelor's Degree,artist
43,Widowed,Doctorate,doctor
44,Separated,Master's Degree,artist
45,Divorced,Bachelor's Degree,engineer
46,Married,High School Diploma,chef
47,Divorced,Doctorate,teacher
48,Divorced,Doctorate,pilot
49,Divorced,Associate's Degree,doctor
50,Married,Bachelor's Degree,pilot
51,Widowed,Bachelor's Degree,doctor
52,Separated,High School Diploma,engineer
53,Separated,Master's Degree,engineer
54,Separated,Master's Degree,artist
55,Married,High School Diploma,engineer
56,Widowed,Master's Degree,engineer
57,Separated,High School Diploma,artist
58,Separated,Master's Degree,pilot
59,Single,Master's Degree,engineer
60,Separated,Master's Degree,engineer
61,Divorced,High School Diploma,doctor
62,Divorced,Associate's Degree,chef
63,Widowed,Associate's Degree,chef
64,Single,Doctorate,artist
65,Single,Bachelor's Degree,chef
66,Single,Associate's Degree,pilot
67,Widowed,Associate's Degree,artist
68,Separated,Bachelor's Degree,artist
69,Single,High School Diploma,doctor
70,Married,High School Diploma,pilot
71,Divorced,Bachelor's Degree,teacher
72,Widowed,Doctorate,artist
73,Divorced,Bachelor's Degree,artist
74,Single,Master's Degree,pilot
75,Widowed,Associate's Degree,pilot
76,Single,Associate's Degree,doctor
77,Single,Doctorate,doctor
